timestamp,title,price,total_area,rooms,floor,total_floors,address,latitude,longitude,description,json_description,url,images_count
2026-03-25 03:42:50,"117,1 м², 3-комнатная квартира",87906968,,,,,,,,"117,1 м², 3-комнатная квартира87 906 968 ₽750 700 ₽ за м²","Продается трехкомнатная квартира 117.1 м² по цене 87,91 млн ₽ на 20 этаже из 25. 📍 Адрес: Москва, ЖК Мастерс, Премиальный дом МАСТЕРС. ✅ Характеристики, описание и фото объекта id 8410972824084096292 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8410972824084096292/,8
2026-03-25 03:42:59,"295,6 м², 2-комнатная квартира",945856000,,,,,,,,"295,6 м², 2-комнатная квартира945 856 000 ₽3 200 000 ₽ за м²","Продается двухкомнатная квартира 295.58 м² по цене 945,86 млн ₽ на 8 этаже из 8. 📍 Адрес: Москва, Машкова улица, 18, Дом Соболева. ✅ Характеристики, описание и фото объекта id 8431797464374564582 на Яндекс Недвижимости",https://realty.yandex.ru/offer/8431797464374564582/,8
2026-03-25 03:43:10,"37 м², 1-комнатные апартаменты",10000000,,,,,,,,"37 м², 1-комнатные апартаменты10 000 000 ₽270 270 ₽ за м²","Продается 1-комнатные апартаменты 37 м² по цене 10 млн ₽ на 3 этаже из 17. 📍 Адрес: Москва, Смольная улица, 2, ✅ Характеристики, описание и фото объекта id 3961344737880931193 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3961344737880931193/,8
2026-03-25 03:43:20,"173,4 м², 4-комнатная квартира",285797888,,,,,,,,"173,4 м², 4-комнатная квартира285 797 888 ₽1 648 200 ₽ за м²","Продается квартира 173.4 м² по цене 285,8 млн ₽ на 14 этаже из 15. 📍 Адрес: Москва, историческая местность Миусы, Клубный дом «Энигмия». ✅ Характеристики, описание и фото объекта id 3219086721053931027 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3219086721053931027/,8
2026-03-25 03:43:29,"273,6 м², 5-комнатные апартаменты",1056659968,,,,,,,,"273,6 м², 5-комнатные апартаменты1 056 659 968 ₽3 862 061 ₽ за м²","Продается апартаменты 273.6 м² по цене 1,06 млрд ₽ на 5 этаже из 5. 📍 Адрес: Москва, ЦАО, Тверской район, ЖК Ильинка 3/8, Клубные особняки «Ильинка 3/8». ✅ Характеристики, описание и фото объекта id 6196020375068817404 на Яндекс Недвижимости",https://realty.yandex.ru/offer/6196020375068817404/,8
2026-03-25 03:43:39,"54,9 м², 1-комнатная квартира",84161696,,,,,,,,"54,9 м², 1-комнатная квартира84 161 696 ₽1 533 000 ₽ за м²","Продается однокомнатная квартира 54.9 м² по цене 84,16 млн ₽ на 8 этаже из 19. 📍 Адрес: Москва, Большая Татарская улица, 35с15-16, ТАТАРСКАЯ 35. ✅ Характеристики, описание и фото объекта id 6396785477905549549 на Яндекс Недвижимости",https://realty.yandex.ru/offer/6396785477905549549/,8
2026-03-25 03:43:50,"28,4 м², апартаменты-студия",10900000,,,,,,,,"28,4 м², апартаменты-студия10 900 000 ₽383 803 ₽ за м²","Продается апартаменты-студию от собственника 28.4 м² по цене 10,9 млн ₽ на 3 этаже из 15. 📍 Адрес: Москва, Автозаводская улица, 23с931к4, Апарт-комплекс «ТехноПарк». ✅ Характеристики, описание и фото объекта id 4670598243228544769 на Яндекс Недвижимости",https://realty.yandex.ru/offer/4670598243228544769/,8
2026-03-25 03:43:58,"43,6 м², 1-комнатная квартира",28239840,,,,,,,,"43,6 м², 1-комнатная квартира28 239 840 ₽648 000 ₽ за м²","Продается однокомнатная квартира 43.58 м² по цене 28,24 млн ₽ на 5 этаже из 25. 📍 Адрес: Москва, улица Берзарина, 37, ЖК «Квартал Серебряный бор». ✅ Характеристики, описание и фото объекта id 3956170510427183552 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3956170510427183552/,8
2026-03-25 03:44:08,"53,4 м², 2-комнатная квартира",30908812,,,,,,,,"53,4 м², 2-комнатная квартира30 908 812 ₽578 600 ₽ за м²","Продается двухкомнатная квартира 53.42 м² по цене 30,91 млн ₽ на 14 этаже из 44. 📍 Адрес: Москва, ЗАО, район Кунцево, 48-й квартал, ЖК Среда на Кутузовском, ЖК «Среда на Кутузовском». ✅ Характеристики, описание и фото объекта id 3961376157109019240 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3961376157109019240/,8
2026-03-25 03:44:17,"133,4 м², 4-комнатная квартира",177528720,,,,,,,,"133,4 м², 4-комнатная квартира177 528 720₽–12%156 225 273 ₽1 171 104 ₽ за м²","Продается квартира 133.4 м² по цене 177,53 млн ₽ на 14 этаже из 18. 📍 Адрес: Москва, ЖК Шифт, к3, Жилой квартал «ШИФТ». ✅ Характеристики, описание и фото объекта id 3661213715307719607 на Яндекс Недвижимости",https://realty.yandex.ru/offer/3661213715307719607/,8
